dataset,target_size,algorithm,oa,aa,k,fold
indian_pines,8,pcal,0.55,0.45,0.48,0
indian_pines,8,pcal,0.55,0.45,0.48,1
indian_pines,8,pcal,0.55,0.45,0.48,2
indian_pines,8,pcal,0.55,0.45,0.48,3
indian_pines,8,pcal,0.55,0.45,0.48,4
indian_pines,8,pcal,0.55,0.45,0.48,5
indian_pines,8,pcal,0.55,0.45,0.48,6
indian_pines,8,pcal,0.55,0.45,0.48,7
indian_pines,8,pcal,0.55,0.45,0.48,8
indian_pines,8,pcal,0.55,0.45,0.48,9
indian_pines,8,pcal,0.55,0.45,0.48,10
indian_pines,8,pcal,0.55,0.45,0.48,11
indian_pines,8,pcal,0.55,0.45,0.48,12
indian_pines,8,pcal,0.55,0.45,0.48,13
indian_pines,8,pcal,0.55,0.45,0.48,14
indian_pines,8,pcal,0.55,0.45,0.48,15
indian_pines,8,pcal,0.55,0.45,0.48,16
indian_pines,8,pcal,0.55,0.45,0.48,17
indian_pines,8,pcal,0.55,0.45,0.48,18
indian_pines,8,pcal,0.55,0.45,0.48,19
paviaU,8,pcal,0.79,0.72,0.71,0
paviaU,8,pcal,0.79,0.72,0.71,1
paviaU,8,pcal,0.79,0.72,0.71,2
paviaU,8,pcal,0.79,0.72,0.71,3
paviaU,8,pcal,0.79,0.72,0.71,4
paviaU,8,pcal,0.79,0.72,0.71,5
paviaU,8,pcal,0.79,0.72,0.71,6
paviaU,8,pcal,0.79,0.72,0.71,7
paviaU,8,pcal,0.79,0.72,0.71,8
paviaU,8,pcal,0.79,0.72,0.71,9
paviaU,8,pcal,0.79,0.72,0.71,10
paviaU,8,pcal,0.79,0.72,0.71,11
paviaU,8,pcal,0.79,0.72,0.71,12
paviaU,8,pcal,0.79,0.72,0.71,13
paviaU,8,pcal,0.79,0.72,0.71,14
paviaU,8,pcal,0.79,0.72,0.71,15
paviaU,8,pcal,0.79,0.72,0.71,16
paviaU,8,pcal,0.79,0.72,0.71,17
paviaU,8,pcal,0.79,0.72,0.71,18
paviaU,8,pcal,0.79,0.72,0.71,19
salinas,8,pcal,0.8,0.83,0.77,0
salinas,8,pcal,0.8,0.83,0.77,1
salinas,8,pcal,0.8,0.83,0.77,2
salinas,8,pcal,0.8,0.83,0.77,3
salinas,8,pcal,0.8,0.83,0.77,4
salinas,8,pcal,0.8,0.83,0.77,5
salinas,8,pcal,0.8,0.83,0.77,6
salinas,8,pcal,0.8,0.83,0.77,7
salinas,8,pcal,0.8,0.83,0.77,8
salinas,8,pcal,0.8,0.83,0.77,9
salinas,8,pcal,0.8,0.83,0.77,10
salinas,8,pcal,0.8,0.83,0.77,11
salinas,8,pcal,0.8,0.83,0.77,12
salinas,8,pcal,0.8,0.83,0.77,13
salinas,8,pcal,0.8,0.83,0.77,14
salinas,8,pcal,0.8,0.83,0.77,15
salinas,8,pcal,0.8,0.83,0.77,16
salinas,8,pcal,0.8,0.83,0.77,17
salinas,8,pcal,0.8,0.83,0.77,18
salinas,8,pcal,0.8,0.83,0.77,19
ghisaconus,8,pcal,0.67,0.59,0.5,0
ghisaconus,8,pcal,0.67,0.59,0.5,1
ghisaconus,8,pcal,0.67,0.59,0.5,2
ghisaconus,8,pcal,0.67,0.59,0.5,3
ghisaconus,8,pcal,0.67,0.59,0.5,4
ghisaconus,8,pcal,0.67,0.59,0.5,5
ghisaconus,8,pcal,0.67,0.59,0.5,6
ghisaconus,8,pcal,0.67,0.59,0.5,7
ghisaconus,8,pcal,0.67,0.59,0.5,8
ghisaconus,8,pcal,0.67,0.59,0.5,9
ghisaconus,8,pcal,0.67,0.59,0.5,10
ghisaconus,8,pcal,0.67,0.59,0.5,11
ghisaconus,8,pcal,0.67,0.59,0.5,12
ghisaconus,8,pcal,0.67,0.59,0.5,13
ghisaconus,8,pcal,0.67,0.59,0.5,14
ghisaconus,8,pcal,0.67,0.59,0.5,15
ghisaconus,8,pcal,0.67,0.59,0.5,16
ghisaconus,8,pcal,0.67,0.59,0.5,17
ghisaconus,8,pcal,0.67,0.59,0.5,18
ghisaconus,8,pcal,0.67,0.59,0.5,19
